pre,post,broken,br,local,immediate,reason,status
"\Lambda_{4,3}\mid \Gamma_{2,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Phi_{4,3}\mid \Gamma_{2,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Phi_{5,2}\mid \Psi_{2,2}",\bigl(\Pi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Pi_{3,3} \Sigma_{3,3} \Delta_{1,1}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Phi_{5,2}\mid \Xi_{2,2}",\bigl(\Pi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Pi_{3,3} \Sigma_{3,3} \Delta_{1,1}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Pi_{4,3}\mid \Gamma_{2,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Psi_{4,3}\mid \Gamma_{2,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Psi_{5,2}\mid \Psi_{2,2}",\bigl(\Psi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Psi_{3,4} \Sigma_{3,3} \Delta_{1,1}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Psi_{5,2}\mid \Xi_{2,2}",\bigl(\Psi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Psi_{3,4} \Sigma_{3,3} \Delta_{1,1}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Theta_{1,1}\mid \Pi_{2,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Theta_{4,5}\mid \Gamma_{2,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Theta_{5,2}\mid \Psi_{2,2}",\bigl(\Pi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Pi_{3,3} \Sigma_{3,3} \Delta_{1,1}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Theta_{5,2}\mid \Xi_{2,2}",\bigl(\Pi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Pi_{3,3} \Sigma_{3,3} \Delta_{1,1}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Xi_{1,1}\mid \Pi_{2,2}",\bigl(\Gamma_{0}\;\Sigma_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Gamma_{0,3} \Sigma_{1,3}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Xi_{4,5}\mid \Gamma_{2,2}",\bigl(\Sigma_{4}\;\Gamma_{3}\bigr)\;\bigl(\Pi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Sigma_{4,3} \Gamma_{3,3}\bigr)\;\bigl(\Pi_{3,1} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Xi_{5,2}\mid \Psi_{2,2}",\bigl(\Psi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Psi_{3,4} \Sigma_{3,3} \Delta_{1,1}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Xi_{5,2}\mid \Xi_{2,2}",\bigl(\Psi_{3}\;\Sigma_{3}\;\Delta_{1}\bigr)\;\bigl(\Psi_{3}\;\Gamma_{5}\;\Phi_{1}\bigr),"\bigl(\Psi_{3,4} \Sigma_{3,3} \Delta_{1,1}\bigr)\;\bigl(\Psi_{3,2} \underline{\Gamma_{5}} \Phi_{1}\bigr)",\Gamma_{5},right word,False,"need\;(\alpha^{+},\,1:\beta^{+});\;\mathrm{avail}\;\Gamma_{5,3}",break
"\Delta_{3,3}\mid \Delta_{2,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Delta_{3,3}\mid \Sigma_{2,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Lambda_{3,3}\mid \Delta_{2,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Lambda_{3,3}\mid \Sigma_{2,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Phi_{3,4}\mid \Delta_{2,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Phi_{3,4}\mid \Sigma_{2,3}",\bigl(\Phi_{4}\;\Sigma_{5}\;\Phi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Sigma_{5,2} \Phi_{0,3}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Psi_{5,4}\mid \Phi_{2,4}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Psi_{5,4}\mid \Psi_{2,4}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Psi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Psi_{5,4}\mid \Theta_{2,4}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Psi_{5,4}\mid \Xi_{2,4}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Psi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Xi_{5,4}\mid \Phi_{2,4}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Xi_{5,4}\mid \Psi_{2,4}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Psi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Xi_{5,4}\mid \Theta_{2,4}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Pi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Xi_{5,4}\mid \Xi_{2,4}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Psi_{0}\bigr)\;\bigl(\Delta_{4}\;\Sigma_{0}\;\Psi_{0}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Psi_{0,1}\bigr)\;\bigl(\Delta_{4,1} \underline{\Sigma_{0}} \Psi_{0}\bigr)",\Sigma_{0},right word,False,"need\;(\zeta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{0,3}",break
"\Delta_{2,3}\mid \Gamma_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Delta_{2,3}\mid \Lambda_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Delta_{2,3}\mid \Phi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Delta_{2,3}\mid \Pi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Delta_{2,3}\mid \Psi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Delta_{2,3}\mid \Theta_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Delta_{2,3}\mid \Xi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Gamma_{0,3}\mid \Sigma_{1,3}",\bigl(\Gamma_{1}\;\Delta_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Gamma_{1,1} \Delta_{0,3}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Gamma_{5,3}\mid \Gamma_{1,1}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Gamma_{5,3}\mid \Lambda_{1,1}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Gamma_{5,3}\mid \Phi_{1,1}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Gamma_{5,3}\mid \Pi_{1,1}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Gamma_{5,3}\mid \Psi_{1,1}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Gamma_{5,3}\mid \Theta_{1,1}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Gamma_{5,3}\mid \Xi_{1,1}",\bigl(\Phi_{4}\;\Gamma_{2}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Phi_{4,3} \Gamma_{2,2} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Lambda_{2,4}\mid \Gamma_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Lambda_{2,4}\mid \Lambda_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Lambda_{2,4}\mid \Phi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Lambda_{2,4}\mid \Pi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Lambda_{2,4}\mid \Psi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Lambda_{2,4}\mid \Theta_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Lambda_{2,4}\mid \Xi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Phi_{2,4}\mid \Gamma_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Phi_{2,4}\mid \Lambda_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
"\Phi_{2,4}\mid \Phi_{1,1}",\bigl(\Delta_{4}\;\Sigma_{0}\;\Pi_{0}\bigr)\;\bigl(\Gamma_{0}\;\Sigma_{1}\bigr),"\bigl(\Delta_{4,3} \Sigma_{0,3} \Pi_{0,1}\bigr)\;\bigl(\Gamma_{0,1} \underline{\Sigma_{1}}\bigr)",\Sigma_{1},right word,False,"need\;(\delta^{+},\,1:\theta^{-});\;\mathrm{avail}\;\Sigma_{1,3},\;\Sigma_{1,5}",break
